"Strongs","Text"
"G2644","be ye reconciled"
"G2316","to God."
"G1063","For"
"G4160","he hath made"
"G266","him [to be] sin"
"G5228","for"
"G2257","us,"
"G3588","who"
"G1097","knew"
"G3361","no"
"G266","sin;"
"G2443","that"
"G2249","we"
"G1096","might be made"
"G1343","the righteousness"
"G2316","of God"
"G1722","in"
"G846","him."
