Strongs,Lgg,X,Word,Pos_Long,Pos_Abbv,Transliteration,Meaning
H15,H,15,אָבֶה,noun fem,n-f.,abeh (aw-beh'),"1. longing [from H14] KJV: desire. Root(s): H14"""
H16,H,16,אֵבֶה,noun masc,n-m.,ebeh (ay-beh'),"1. the papyrus [from H14 (in the sense of bending toward)] KJV: swift. Root(s): H14"""
H17,H,17,אֲבוֹי,injunction,inj.,abowy (ab-o'ee),"1. want [from H14 (in the sense of desiring)] KJV: sorrow. Root(s): H14"""
H18,H,18,אֵבוּס,noun masc,n-m.,ebuwc (ay-booce'),"1. a manger or stall [from H75] KJV: crib. Root(s): H75"""
H19,H,19,אִבחָה,noun fem,n-f.,ibchah (ib-khaw'),"1. brandishing of a sword [from an unused root (apparently meaning to turn)] KJV: point."""
H20,H,20,אֲבַטִּיַח,noun masc,n-m.,abattiyach (ab-at-tee'-akh),"1. a melon (only plural) [of uncertain derivation] KJV: melon."""
H21,H,21,אֲבִי,name,n/p.,Abiy (ab-ee'),"1. fatherly 2. Abi, Hezekiah's mother [from H1] KJV: Abi. Root(s): H1"
H22,H,22,אֲבִיאֵל,name,n/p.,Abiy'el (ab-ee-ale'),"1. father (i.e. possessor) of God 2. Abiel, the name of two Israelites [from H1 and H410] KJV: Abiel. Root(s): H1, H410"
H23,H,23,אֲבִיאָסָף,name,n/p.,Abiy'acaph (ab-ee-aw-sawf'),"1. father of gathering (i.e. gatherer) 2. Abiasaph, an Israelite [from H1 and H622] KJV: Abiasaph. Root(s): H1, H622"
H24,H,24,אָבִיבּ,noun masc,n-m.,abiyb (aw-beeb'),"1. green, i.e. a young ear of grain 2. (hence) the name of the month Abib or Nisan [from an unused root (meaning to be tender)] KJV: Abib, ear, green ears of corn (not maize)."
H25,H,25, אֲבִי גִּבעוֹן,name,n/p.,Abiy Gib`own (ab-ee' ghib-one'),"1. father (i.e. founder) of Gibon 2. Abi-Gibon, perhaps an Israelite [from H1 and H1391] KJV: father of Gibeon. Root(s): H1, H1391"
H26,H,26,אֲבִיגַּיִל אֲבִיגַּל,name,n/p.,Abiygayil (ab-ee-gah'-yil) (or shorter Abiygal {ab-ee-gal'}),"1. father (i.e. source) of joy 2. Abigail or Abigal, the name of two Israelitesses [from H1 and H1524] KJV: Abigal. Root(s): H1, H1524"
H27,H,27,אֲבִידָּן,name,n/p.,Abiydan (ab-ee-dawn'),"1. father of judgment (i.e. judge) 2. Abidan, an Israelite [from H1 and H1777] KJV: Abidan. Root(s): H1, H1777"
H28,H,28,אֲבִידָּע,name,n/p.,Abiyda` (ab-ee-daw'),"1. father of knowledge (i.e. knowing) 2. Abida, a son of Abraham by Keturah [from H1 and H3045] KJV: Abida, Abidah. Root(s): H1, H3045"
H29,H,29,אֲבִיָה אֲבִיָהוּ,name,n/p.,Abiyah (ab-ee-yaw') (or prolonged Abiyahuw {ab-ee-yaw'-hoo}),"1. father (i.e. worshipper) of Jah 2. Abijah, the name of several Israelite men and two Israelitesses [from H1 and H3050] KJV: Abiah, Abijah. Root(s): H1, H3050"
H30,H,30,אֲבִיהוּא,name,n/p.,Abiyhuw' (ab-ee-hoo'),"1. father (i.e. worshipper) of Him (i.e. God) 2. Abihu, a son of Aaron [from H1 and H1931] KJV: Abihu. Root(s): H1, H1931"
H31,H,31,אֲבִיהוּד,name,n/p.,Abiyhuwd (ab-ee-hood'),"1. father (i.e. possessor) of renown 2. Abihud, the name of two Israelites [from H1 and H1935] KJV: Abihud. Root(s): H1, H1935"
H32,H,32,אֲבִיהַיִל אֲבִיחַיִל,name,n/p.,Abiyhayil (ab-ee-hah'-yil) (or (more correctly) hAbiychayil {ab-ee- khah'-yil}),"1. father (i.e. possessor) of might 2. Abihail or Abichail, the name of three Israelites and two Israelitesses [from H1 and H2428] KJV: Abihail. Root(s): H2428"
H33,H,33,אֲבִי הָעֶזרִי,name,n/p.,Abiy ha-`Ezriy (ab-ee'-haw-ez-ree'),"1. father of the Ezrite 2. an Abiezrite or descendant of Abiezer [from H44 with the article inserted] KJV: Abiezrite. Root(s): H44"""
H34,H,34,אֶביוֹן,adjective,adj.,ebyown (eb-yone'),"1. destitute [from H14, in the sense of want (especially in feeling)] KJV: beggar, needy, poor (man). Root(s): H14"
H35,H,35,אֲבִיוֹנָה,noun fem,n-f.,abiyownah (ab-ee-yo-naw'),"1. provocative of desire 2. the caper berry (from its stimulative taste) [from H14] KJV: desire. Root(s): H14"""
H36,H,36,אֲבִיטּוּב,name,n/p.,Abiytuwb (ab-ee-toob'),"1. father of goodness (i.e. good) 2. Abitub, an Israelite [from H1 and H2898] KJV: Abitub. Root(s): H1, H2898"
H37,H,37,אֲבִיטַּל,name,n/p.,Abiytal (ab-ee-tal'),"1. father of dew (i.e. fresh) 2. Abital, a wife of King David [from H1 and H2919] KJV: Abital. Root(s): H1, H2919"
H38,H,38,אֲבִיָם,name,n/p.,Abiyam (ab-ee-yawm'),"1. father of (the) sea (i.e. seaman) 2. Abijam (or Abijah), a king of Judah [from H1 and H3220] KJV: Abijam. Root(s): H1, H3220"
H39,H,39,אֲבִימָאֵל,name,n/p.,Abiyma'el (ab-ee-maw-ale'),"1. father of Mael (apparently some Arab tribe) 2. Abimael, a son of Joktan [from H1 and an elsewhere unused (probably foreign) word] KJV: Abimael. Root(s): H1"
H40,H,40,אֲבִימֶלֶך,name,n/p.,Abiymelek (ab-ee-mel'-ek),"1. father of (the) king 2. Abimelek, the name of two Philistine kings and of two Israelites [from H1 and H4428] KJV: Abimelech. Root(s): H1, H4428"
H41,H,41,אֲבִינָדָב,name,n/p.,Abiynadab (ab-ee-naw-dawb'),"1. father of generosity (i.e. liberal) 2. Abinadab, the name of four Israelites [from H1 and H5068] KJV: Abinadab. Root(s): H1, H5068"
H42,H,42,אֲבִינוֹעַם,name,n/p.,Abiyno`am (ab-ee-no'-am),"1. father of pleasantness (i.e. gracious) 2. Abinoam, an Israelite [from H1 and H5278] KJV: Abinoam. Root(s): H1, H5278"
H43,H,43,אֶביָסָף,name,n/p.,Ebyacaph (eb-yaw-sawf'),"1. Ebjasaph, an Israelite [contracted from H23] KJV: Ebiasaph. Root(s): H23"
H44,H,44,אֲבִיעֶזֶר,name,n/p.,Abiy`ezer (ab-ee-ay'-zer),"1. father of help (i.e. helpful) 2. Abiezer, the name of two Israelites [from H1 and H5829] KJV: Abiezer. Root(s): H1, H5829"
H45,H,45,אֲבִי ־ עַלבּוֹן,name,n/p.,Abiy-`albown (ab-ee-al-bone'),"1. probably, father of strength (i.e. valiant) 2. Abialbon, an Israelite [from H1 and and an unused root of uncertain. derivation] KJV: Abialbon. Root(s): H1"
H46,H,46,אָבִיר,adjective,adj.,abiyr (aw-beer'),"1. mighty (spoken of God) [from H82] KJV: mighty (one). Root(s): H82"""
H47,H,47,אַבִּיר,adjective,adj.,abbiyr (ab-beer'),"1. mighty (spoken of created beings [from H46] KJV: angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant. Root(s): H46"
H48,H,48,אֲבִירָם,name,n/p.,Abiyram (ab-ee-rawm'),"1. father of height (i.e. lofty) 2. Abiram, the name of two Israelites [from H1 and H7311] KJV: Abiram. Root(s): H1, H7311"
H49,H,49,אֲבִישַׁג,name,n/p.,Abiyshag (ab-ee-shag'),"1. father of error (i.e. blundering) 2. Abishag, a concubine of David [from H1 and H7686] KJV: Abishag. Root(s): H1, H7686"
H50,H,50,אֲבִישׁוַּע,name,n/p.,Abiyshuwae (ab-ee-shoo'-ah),"1. father of plenty (i.e. prosperous) 2. Abishua, the name of two Israelites [from H1 and H7771] KJV: Abishua. Root(s): H1, H7771"
H51,H,51,אֲבִישׁוּר,name,n/p.,Abiyshuwr (ab-ee-shoor'),"1. father of (the) wall (i.e. perhaps mason) 2. Abishur, an Israelite [from H1 and H7791] KJV: Abishur. Root(s): H1, H7791"
H52,H,52,אֲבִישַׁי אַבשַׁי,name,n/p.,Abiyshay (ab-ee-shah'ee) (or (shorter) Abshay {ab-shah'ee}),"1. father of a gift (i.e. probably generous) 2. Abishai, an Israelite [from H1 and H7862] KJV: Abishai. Root(s): H1, H7862"
H53,H,53,אֲבִישָׁלוֹם אַבשָׁלוֹם,name,n/p.,Abiyshalowm (ab-ee-shaw-lome') (or (shortened) bAbshalowm {ab-shaw- lome'}),"1. father of peace (i.e. friendly) 2. Abshalom, a son of David 3. (also, the fuller form) a later Israelite [from H1 and H7965] KJV: Abishalom, Absalom. Root(s): H1, H7965"
H54,H,54,אֶביָתָר,name,n/p.,Ebyathar (ab-yaw-thawr'),"1. father of abundance (i.e. liberal) 2. Ebjathar, an Israelite [contracted from H1 and H3498] KJV: Abiathar. Root(s): H1, H3498"
H55,H,55,אָבַך,verb,v.,abak (aw-bak'),"1. probably to coil upward [a primitive root] KJV: mount up."""
H56,H,56,אָבַל,verb,v.,abal (aw-bal'),"1. to bewail [a primitive root] KJV: lament, mourn."
H57,H,57,אָבֵל,adjective,adj.,abel (aw-bale'),"1. lamenting [from H56] KJV: mourn(-er, -ing). Root(s): H56"
H58,H,58,אָבֵל,noun fem,n-f.,abel (aw-bale'),"1. a meadow [from an unused root (meaning to be grassy)] KJV: plain. Compare: also, the, proper, names, beginning, with, Abel-"
H59,H,59,אָבֵל,name/l.,n/l.,Abel (aw-bale'),"1. a meadow 2. Abel, the name of two places in Israel [from H58] KJV: Abel. Root(s): H58"
H60,H,60,אֵבֶל,noun masc,n-m.,ebel (ay'-bel),"1. lamentation [from H56] KJV: mourning. Root(s): H56"""
H61,H,61,אֲבָל,adverb,adv.,abal (ab-awl'),"1. nay, i.e. truly or yet [apparently from H56 through the idea of negation] KJV: but, indeed, nevertheless, verily. Root(s): H56"
H62,H,62,אָבֵל בֵּיתּ מֲעַכָה,name/l.,n/l.,Abel Beyth-Ma`akah (aw-bale' bayth ma-a-kaw'),"1. meadow of Beth-Maakah 2. Abel of Beth-maakah, a place in Israel [from H58 and H1004 and H4601] KJV: Abel-beth-maachah, Abel of Beth-maachah, Root(s): H58, H1004, H4601"
H63,H,63,אָבֵל הַשִּׁטִּים,name/l.,n/l.,Abel hash-Shittiym (aw-bale' hash-shit-teem'),"1. meadow of the acacias 2. Abel hash- Shittim, a place in Israel [from H58 and the plural of H7848, with the article inserted] KJV: Abel-shittim. Root(s): H58, H7848"
H64,H,64,אָבֵל כְּרָמִים,name/l.,n/l.,Abel Kramiym (aw-bale' ker-aw-meem'),"1. meadow of vineyards 2. Abel-Keramim, a place in Israel [from H58 and the plural of H3754] KJV: plain of the vineyards. Root(s): H58, H3754"
H65,H,65,אָבֵל מְחוֹלָה,name/l.,n/l.,Abel Mchowlah (aw-bale' mekh-o-law'),"1. meadow of dancing 2. Abel-Mecholah, a place in Israel [from H58 and H4246] KJV: Abel-meholah. Root(s): H58, H4246"
H66,H,66,אַבֵל מַיִם,name/l.,n/l.,Abel Mayim (aw-bale' mah'-yim),"1. meadow of water 2. Abel-Majim, a place in Israel [from H58 and H4325] KJV: Abel-maim. Root(s): H58, H4325"
H67,H,67,אָבֵל מִצרַיִם,name/l.,n/l.,Abel Mitsrayim (aw-bale' mits-rah'-yim),"1. meadow of Egypt 2. Abel-Mitsrajim, a place in Israel [from H58 and H4714] KJV: Abel-mizraim. Root(s): H58, H4714"
H68,H,68,אֶבֶן,noun fem,n-f.,eben (eh'-ben),"1. a stone [from the root of H1129 through the meaning to build] KJV: + carbuncle, + mason, + plummet, (chalk-, hail-, head-, sling-)stone(-ny), (divers) weight(-s). Root(s): H1129"
A69,A,69,אֶבֶן,noun fem,n-f.,eben (eh'-ben),"1. stone [(Aramaic) corresponding to H68] Root(s): H68"""
H70,H,70,אוֹבֶן,noun masc,n-m.,oben (o'ben),"1. a pair of stones (only dual) 2. a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between) [from the same as H68] KJV: wheel, stool. Root(s): H68"
H71,H,71,אֲבָנָה,name/l.,n/l.,Abanah (ab-aw-naw'),"1. stony 2. Abanah, a river near Damascus [perhaps feminine of H68] KJV: Abana. Root(s): H68 Compare: H549"
H72,H,72,אֶבֶן הָעֵזֶר,name/l.,n/l.,Eben ha-`ezer (eh'-ben haw-e'-zer),"1. stone of the help 2. Eben-ha-Ezer, a place in Israel [from H68 and H5828 with the article inserted] KJV: Ebenezer. Root(s): H68, H5828"
H73,H,73,אַבנֵט,noun masc,n-m.,abnet (ab-nate'),"1. a belt [of uncertain derivation] KJV: girdle."""
H74,H,74,אַבנֵר אֲבִינֵר,name,n/p.,Abner (ab-nare') (or (fully) nAbiyner {ab-ee-nare'}),"1. father of light (i.e. enlightening) 2. Abner, an Israelite [from H1 and H5216] KJV: Abner. Root(s): H1, H5216"
H75,H,75,אָבַס,verb,v.,abac (aw-bas'),"1. to fodder [a primitive root] KJV: fatted, stalled."
H76,H,76,אֲבַעבּוּעָה,noun fem,n-f.,aba`bu`ah (ab-ah-boo-aw'),"1. an inflammatory pustule (as eruption) [(by reduplication) from an unused root (meaning to belch forth)] KJV: blains."""
H77,H,77,אֶבֶץ,name/l.,n/l.,Ebets (eh'-bets),"1. conspicuous 2. Ebets, a place in Israel [from an unused root probably meaning to gleam] KJV: Abez."
H78,H,78,אִבצָּן,name,n/p.,Ibtsan (ib-tsawn'),"1. splendid 2. Ibtsan, an Israelite [from the same as H76] KJV: Ibzan. Root(s): H76"
H79,H,79,אָבַק,verb,v.,abaq (aw-bak'),"1. to bedust, i.e. grapple [a primitive root, probably to float away (as vapor), but used only as denominative from H80] KJV: wrestle. Root(s): H80"
H80,H,80,אָבָק,noun masc,n-m.,abaq (aw-bawk'),"1. light particles (as volatile) [from root of H79] KJV: (small) dust, powder. Root(s): H79"
H81,H,81,אֲבָקָה,noun fem,n-f.,abaqah (ab-aw-kaw'),"1. powder [feminine of H80] Root(s): H80"""
H82,H,82,אָבַר,verb,v.,abar (aw-bar'),"1. to soar [a primitive root] KJV: fly."""
H83,H,83,אֵבֶר,noun masc,n-m.,eber (ay-ber'),"1. a pinion [from H82] KJV: (long-)wing(-ed). Root(s): H82"""
H84,H,84,אֶברָה,noun fem,n-f.,ebrah (eb-raw'),"1. feather, wing [feminine of H83] Root(s): H83"
H85,H,85,אַברָהָם,name,n/p.,Abraham (ab-raw-hawm'),"1. father of a multitude 2. Abraham, the later name of Abram [contracted from H1 and an unused root (probably meaning to be populous)] KJV: Abraham. Root(s): H1"
H86,H,86,אַברֵך,injunction,inj.,abrek (ab-rake'),1. bow the knee [probably an Egyptian word meaning kneel]
H87,H,87,אַברָם,name,n/p.,Abram (ab-rawm'),"1. high father 2. Abram, the original name of Abraham [contracted from H48] KJV: Abram. Root(s): H48"
H88,H,88,אוֹבוֹת,name/l.,n/l.,oboth (o-both'),"1. water-skins 2. Oboth, a place in the Desert [plural of H178] KJV: Oboth. Root(s): H178"
H89,H,89,אָגֵא,name,n/p.,Age' (aw-gay'),"1. Age, an Israelite [of uncertain derivation] KJV: Agee. Compare: H90"
H90,H,90,אֲגַג,name,n/p.,Agag (ag-ag') (or uAgag {Ag-awg'}),"1. flame 2. Agag, a title of Amalekitish kings [of uncertain derivation] KJV: Agag. Compare: H89"
H91,H,91,אֲגָגִי,adjective,adj.,Agagiy (ag-aw-ghee'),"1. an Agagite or descendent (subject) of Agag [patrial or patronymic from H90] KJV: Agagite. Root(s): H90"""
H92,H,92,אֲגֻדָּה,noun fem,n-f.,aguddah (ag-ood-daw'),"1. a band, bundle, knot, or arch [feminine passive participle of an unused root (meaning to bind)] KJV: bunch, burden, troop."
H93,H,93,אֱגוֹז,noun masc,n-m.,egowz (eg-oze'),"1. a nut [prob of Persian origin] KJV: nut."""
H94,H,94,אָגוּר,name,n/p.,Aguwr (aw-goor'),"1. gathered (i.e. received among the sages) 2. Agur, a fanciful name for Solomon [passive participle of H103] KJV: Agur. Root(s): H103"
H95,H,95,אֲגוֹרָה,noun fem,n-f.,agowrah (ag-o-raw'),"1. (properly) something gathered, i.e. perhaps a grain or berry 2. used only of a small (silver) coin [from the same as H94] KJV: piece (of) silver. Root(s): H94"
H96,H,96,אֶגֶל,noun masc,n-m.,egel (eh'-ghel),"1. a reservoir [from an unused root (meaning to flow down or together as drops)] KJV: drop."""
H97,H,97,אֶגלַיִם,name/l.,n/l.,Eglayim (eg-lah'-yim),"1. a double pond 2. Eglajim, a place in Moab [dual of H96] KJV: Eglaim. Root(s): H96"
H98,H,98,אֲגַם,noun masc,n-m.,agam (ag-am'),"1. a marsh 2. hence a rush (as growing in swamps) 3. hence a stockade of reeds [from an unused root (meaning to collect as water)] KJV: pond, pool, standing (water)."
H99,H,99,אָגֵם,adjective,adj.,agem (aw-game'),"1. figuratively, sad [probably from the same as H98 (in the sense of stagnant water)] KJV: pond. Root(s): H98"
H100,H,100,אַגמוֹן,noun masc,n-m.,agmown (ag-mone'),"1. a marshy pool (others from a different root, a kettle) 2. (by implication) a rush (as growing there) 3. (collectively) a rope of rushes [from the same as H98] KJV: bulrush, caldron, hook, rush. Root(s): H98"
H101,H,101,אַגָּן,noun masc,n-m.,aggan (ag-gawn'),"1. a bowl (as pounded out hollow) [probably from H5059] KJV: basin, cup, goblet. Root(s): H5059"
H102,H,102,אַגָּף,noun masc,n-m.,aggaph (ag-gawf'),"1. a cover or heap 2. i.e. (only plural) wings of an army, or crowds of troops [probably from H5062 (through the idea of impending)] KJV: bands. Root(s): H5062"
H103,H,103,אָגַר,verb,v.,agar (aw-gar'),"1. to harvest [a primitive root] KJV: gather."""
A104,A,104,אִגְּרָא,noun fem,n-f.,iggra' (ig-er-aw'),"1. an epistle (as carried by a state courier or postman) [(Aramaic) of Persian origin] KJV: letter."""
H105,H,105,אֲגַרטָּל,noun masc,n-m.,agartal (ag-ar-tawl'),"1. a basin [of uncertain derivation] KJV: charger."""
H106,H,106,אֶגרוֹף,noun masc,n-m.,egroph (eg-rofe'),"1. the clenched hand [from H1640 (in the sense of grasping)] KJV: fist. Root(s): H1640"""
H107,H,107,אִגֶּרֶת,noun fem,n-f.,iggereth (ig-eh'-reth),"1. an epistle [feminine of H104] KJV: letter. Root(s): H104"""
H108,H,108,אֵד,noun masc,n-m.,ed (ade),"1. a fog [from the same as H181 (in the sense of enveloping)] KJV: mist, vapor. Root(s): H181"
H109,H,109,אָדַב,verb,v.,adab (aw-dab'),"1. to languish [a primitive root] KJV: grieve."""
H110,H,110,אַדבְּאֵל,name,n/p.,Adb'el (ad-beh-ale'),"1. disciplined of God 2. Adbeel, a son of Ishmael [probably from H109 (in the sense of chastisement) and H410] KJV: Adbeel. Root(s): H109, H410"
H111,H,111,אֲדַד,name,n/p.,Adad (ad-ad'),"1. Adad (or Hadad), an Edomite [probably an orthographical variation for H2301] KJV: Hadad. Root(s): H2301"
H112,H,112,אִדּוֹ,name,n/p.,Iddow (id-do),"1. Iddo, an Israelite [of uncertain derivation] KJV: Iddo."
H113,H,113,אָדוֹן אָדוֹן,noun masc,n-m.,adown (aw-done') (or (shortened) adon {aw-done'}),"1. sovereign, i.e. controller (human or divine) [from an unused root (meaning to rule)] KJV: lord, master, owner. Compare: also, names, beginning, with, ""Adoni-"""
H114,H,114,אַדּוֹן,adjective,adj.,Addown (ad-done'),"1. powerful 2. Addon, apparently an Israelite [probably intensive for H113] KJV: Addon. Root(s): H113"
H115,H,115,אֲדוֹרַיִם,name/l.,n/l.,Adowrayim (ad-o-rah'-yim),"1. double mound 2. Adorajim, a place in Israel [dual from H142 (in the sense of eminence)] KJV: Adoraim. Root(s): H142"
A116,A,116,אֱדַיִן,adverb,adv.,edayin (ed-ah'-yin),"1. then (of time) [(Aramaic) of uncertain derivation] KJV: now, that time, then."
H117,H,117,אַדִּיר,adjective,adj.,addiyr (ad-deer'),"1. wide 2. (generally) large 3. (figuratively) powerful [from H142] KJV: excellent, famous, gallant, glorious, goodly, lordly, mighty(- ier one), noble, principal, worthy. Root(s): H142"
H118,H,118,אֲדַליָא,name,n/p.,Adalya' (ad-al-yaw'),"1. Adalja, a son of Haman [of Persian derivation] KJV: Adalia."
H119,H,119,אָדַם,verb,v.,adam (aw-dam'),"1. be (dyed, made) red (ruddy) [to show blood (in the face), i.e. flush or turn rosy]"
H120,H,120,אָדָם,noun masc,n-m.,adam (aw-dawm'),"1. ruddy i.e. a human being (an individual or the species, mankind, etc.) [from H119] KJV: X another, + hypocrite, + common sort, X low, man (mean, of low degree), person. Root(s): H119"
H121,H,121,אָדָם,name,n/p.,Adam (aw-dawm'),"1. Adam the name of the first man, also of a place in Israel [the same as H120] KJV: Adam. Root(s): H120"
H122,H,122,אָדוֹם,adjective,adj.,adom (aw-dome'),"1. rosy [from H119] KJV: red, ruddy. Root(s): H119"
H123,H,123,אֱדוֹם אֱדוֹם,name,n/p.,Edom (ed-ome') (or (fully) oEdowm {ed-ome'}),"1. red (see Gen. 25 2. Edom, the elder twin-brother of Jacob 3. hence the region (Idumaea) occupied by him [from H122] KJV: Edom, Edomites, Idumea. Root(s): H122"
H124,H,124,אוֹדֶם,noun fem,n-f.,odem (o'-dem),"1. redness, i.e. the ruby, garnet, or some other red gem [from H119] KJV: sardius. Root(s): H119"
H125,H,125,אֲדַמדָּם,adjective,adj.,adamdam (ad-am-dawm'),"1. reddish [reduplicated from H119] KJV: (somewhat) reddish. Root(s): H119"""
H126,H,126,אַדמָה,name/l.,n/l.,Admah (ad-maw'),"1. earthy 2. Admah, a place near the Dead Sea [contracted for H127] KJV: Admah. Root(s): H127"
H127,H,127,אֲדָמָה,noun fem,n-f.,adamah (ad-aw-maw'),"1. soil (from its general redness) [from H119] KJV: country, earth, ground, husband(-man) (-ry), land. Root(s): H119"
H128,H,128,אֲדָמָה,name/l.,n/l.,Adamah (ad-aw-maw'),"1. Adamah, a place in Israel [the same as H127] KJV: Adamah. Root(s): H127"
H129,H,129,אֲדָמִי,name/l.,n/l.,Adamiy (ad-aw-mee'),"1. earthy 2. Adami, a place in Israel [from H127] KJV: Adami. Root(s): H127"
H130,H,130,אֱדוֹמִי,adjective,adj.,Edomiy (ed-o-mee') (or (fully) aEdowmiy {ed-o-mee'}),"1. an Edomite, or descendants from (or inhabitants of) Edom [patronymic from H123] KJV: Edomite. See H0726. Root(s): H123 See also: H726"
H131,H,131,אֲדוּמִּים,name/l.,n/l.,Adummiym (ad-oom-meem'),"1. red spots 2. Adummim, a pass in Israel [plural of H121] KJV: Adummim. Root(s): H121"
H132,H,132,אַדמוֹנִי אַדמוֹנִי,adjective,adj.,admoniy (ad-mo-nee') (or (fully) admowniy {ad-mo-nee'}),"1. reddish (of the hair or the complexion) [from H119] KJV: red, ruddy. Root(s): H119"
H133,H,133,אַדמָתָא,name,n/p.,Admatha' (ad-maw-thaw'),1. Admatha [probably of Persian derivation]
H134,H,134,אֶדֶן,noun masc,n-m.,eden (eh'-den),"1. a basis (of a building, a column, etc.) [from the same as H113 (in the sense of strength)] KJV: foundation, socket. Root(s): H113"
H135,H,135,אַדָּן,name/l.,n/l.,Addan (ad-dawn'),"1. firm 2. Addan, an Israelite [intensive from the same as H134] KJV: Addan. Root(s): H134"
H136,H,136,אֲדוֹנָי,noun masc,n-m.,Adonay (ad-o-noy'),"1. the Lord (used as a proper name of God only) [am emphatic form of H113] KJV: (my) Lord. Root(s): H113"""
H137,H,137,אֲדוֹנִי ־ בֶּזֶק,name,n/p.,Adoniy-Bezeq (ad-o''-nee-beh'-zek),"1. lord of Bezek 2. Adoni-Bezek 3. a Canaanitish king [from H113 and H966] KJV: Adoni-bezek. Root(s): H113, H966"
H138,H,138,אֲדוֹנִיָה אֲדוֹנִיָהוּ,name,n/p.,Adoniyah (ad-o-nee-yaw') (original (prolonged) dAdoniyahuw {ad-o-nee- yaw'-hoo}),"1. lord (i.e. worshipper) of Jah 2. Adonijah, the name of three Israelites [from H113 and H3050] KJV: Adonijah. Root(s): H113, H3050"
H139,H,139,אֲדוֹנִי ־ צֶּדֶק,name,n/p.,Adoniy-Tsedeq (ad-o''-nee-tseh'-dek),"1. lord of justice 2. Adoni-Tsedek, a Canaanitish king [from H113 and H6664] KJV: Adonizedec. Root(s): H113, H6664"
H140,H,140,אֲדוֹנִיקָם,name,n/p.,Adoniyqam (ad-o-nee-kawm'),"1. lord of rising (i.e. high) 2. Adonikam, the name of one or two Israelites [from H113 and H6965] KJV: Adonikam. Root(s): H113, H6965"
H141,H,141,אֲדוֹנִירָם,name,n/p.,Adoniyram (ad-o-nee-rawm'),"1. lord of height 2. Adoniram, an Israelite [from H113 and H7311] KJV: Adoniram. Root(s): H113, H7311"
H142,H,142,אָדַר,verb-stem,v.,adar (aw-dar'),"1. to expand, i.e. be great 2. (figuratively) magnificent [a primitive root] KJV: (become) glorious, honourable."
H143,H,143,אֲדָר,noun/t.,n/t.,Adar (ad-awr'),"1. perhaps meaning fire 2. Adar, the 12th Hebrew month [probably of foreign derivation] KJV: Adar."
A144,A,144,אֲדָר,noun/t.,n/t.,Adar (ad-awr'),"1. Adar [(Aramaic) corresponding to H143] Root(s): H143"""
H145,H,145,אֶדֶר,noun masc,n-m.,eder (eh'-der),"1. amplitude 2. (concretely) a mantle 3. (figuratively) splendor [from H142] KJV: goodly, robe. Root(s): H142"
H146,H,146,אַדָּר,name,n/p.,Addar (ad-dawr'),"1. ample 2. Addar, a place in Israel 3. (also) an Israelite [intensive from H142] KJV: Addar. Root(s): H142"
