Testament_Ord,Testament,Section_Ord,Section,OrderBk ,Book,BookTitle ,Chapters ,Verses,BookSummary
1,Old,2,Old Testament Narrative,13,1Ch,The First Book of Chronicles ,29,942,are so called as being the record made by the appointed historiographers of the kingdoms of Judah and Israel; they are the official histories of those kingdoms.
1,Old,2,Old Testament Narrative,14,2Ch,The Second Book of Chronicles ,36,822,are so called as being the record made by the appointed historiographers of the kingdoms of Judah and Israel; they are the official histories of those kingdoms.
1,Old,2,Old Testament Narrative,15,Ezr,The Book of Ezra ,10,280,"The story of the return of the Jews from the Babylonish captivity, and of the rebuilding of the temple."
1,Old,2,Old Testament Narrative,16,Neh,The Book of Nehemiah ,13,406,"A further account of the rebuilding of the temple and city, and of the obstacles encountered and overcome."
1,Old,2,Old Testament Narrative,17,Est,The Book of Esther ,10,167,The story of a Jewess who becomes queen of Persia and saves the Jewish people from destruction.
1,Old,3,Wisdom Literature,18,Job,The Book of Job ,42,"1,070",The story of the trials and patience of a holy man of Edom.
1,Old,3,Wisdom Literature,19,Psa,The Book of Psalms ,150,"2,461",A collection of sacred poems intended for use in the worship of Jehovah. Chiefly the productions of David.
1,Old,3,Wisdom Literature,20,Pro,The Book of Proverbs ,31,915,The wise sayings of Solomon.
1,Old,3,Wisdom Literature,21,Ecc,The Book of Ecclesiastes ,12,222,A poem respecting the vanity of earthly things.
1,Old,3,Wisdom Literature,22,Sng,The Song of Songs (or Song of Solomon or Canticles),8,117,An allegory relating to the church.
1,Old,4,Major Prophets,23,Isa,The Book of Isaiah ,66,"1,292",Prophecies respecting Christ and his kingdom.
1,Old,4,Major Prophets,24,Jer,The Book of Jeremiah ,52,"1,364","Prophecies announcing the captivity of Judah, its sufferings, and the final overthrow of its enemies."
1,Old,4,Major Prophets,25,Lam,The Book of Lamentations ,5,154,The utterance of Jeremiah's sorrow upon the capture of Jerusalem and the destruction of the temple.
1,Old,4,Major Prophets,26,Eze,The Book of Ezekiel ,48,"1,273",Messages of warning and comfort to the Jews in their captivity.
1,Old,4,Major Prophets,27,Dan,The Book of Daniel ,12,357,"A narrative of some of the occurrences of the captivity, and a series of prophecies concerning Christ."
1,Old,5,Minor Prophets,28,Hos,The Book of Hosea ,14,197,Prophecies relating to Christ and the latter days.
1,Old,5,Minor Prophets,29,Joe,The Book of Joel ,3,73,"Prediction of woes upon Judah, and of the favor with which God will receive the penitent people."
1,Old,5,Minor Prophets,30,Amo,The Book of Amos ,9,146,"Prediction that Israel and other neighboring nations will be punished by conquerors from the north, and of the fulfillment of the Messiah's kingdom."
1,Old,5,Minor Prophets,31,Oba,The Book of Obadiah ,1,21,Prediction of the desolation of Edom.
1,Old,5,Minor Prophets,32,Jon,The Book of Jonah ,4,48,Prophecies relating to Nineveh.
1,Old,5,Minor Prophets,33,Mic,The Book of Micah ,7,105,"Predictions relating to the invasions of Shalmaneser and Sennacherib, the Babylonish captivity, the establishment of a theocratic kingdom in Jerusalem, and the birth of the Messiah in Bethlehem."
1,Old,5,Minor Prophets,34,Nah,The Book of Nahum ,3,47,Prediction of the downfall of Assyria.
1,Old,5,Minor Prophets,35,Hab,The Book of Habakkuk ,3,56,A prediction of the doom of the Chaldeans.
1,Old,5,Minor Prophets,36,Zep,The Book of Zephaniah ,3,53,A prediction of the overthrow of Judah for its idolatry and wickedness.
1,Old,5,Minor Prophets,37,Hag,The Book of Haggai ,2,38,Prophecies concerning the rebuilding of the temple.
1,Old,5,Minor Prophets,38,Zec,The Book of Zechariah ,14,211,Prophecies relating to the rebuilding of the temple and the Messiah.
1,Old,5,Minor Prophets,39,Mal,The Book of Malachi ,4,55,Prophecies relating to the calling of the Gentiles and the coming of Christ.
2,New,6,New Testament Narrative,40,Mat,The Gospel According to Matthew ,28,"1,071",A brief history of the life of Christ.
2,New,6,New Testament Narrative,41,Mar,The Gospel According to Mark ,16,678,"A brief history of the life of Christ, supplying some incidents omitted by St. Matthew."
2,New,6,New Testament Narrative,42,Luk,The Gospel According to Luke ,24,"1,151","The history of the life of Christ, with especial reference to his most important acts and discourses."
2,New,6,New Testament Narrative,43,Jhn,The Gospel According to John ,21,879,"The life of Christ, giving important discourses not related by the other evangelists."
2,New,6,New Testament Narrative,44,Act,The Acts of the Apostles ,28,"1,007",The history of the labors of the apostles and of the foundation of the Christian Church.
2,New,7,Pauline Epistles,45,Rom,The Epistle of Paul to the Romans ,16,433,A treatise by St. Paul on the doctrine of justification by Christ.
2,New,7,Pauline Epistles,46,1Co,The First Epistle of Paul to the Corinthians ,16,437,"A letter from St. Paul to the Corinthians, correcting errors into which they had fallen."
2,New,7,Pauline Epistles,47,2Co,The Second Epistle of Paul to the Corinthians ,13,257,"St. Paul confirms his disciples in their faith, and vindicates his own character."
2,New,7,Pauline Epistles,48,Gal,The Epistle of Paul to the Galatians ,6,149,"St. Paul maintains that we are justified by faith, and not by rites."
2,New,7,Pauline Epistles,49,Eph,The Epistle of Paul to the Ephesians ,6,155,A treatise by St. Paul on the power of divine grace.
2,New,7,Pauline Epistles,50,Phl,The Epistle of Paul to the Philippians ,4,104,St. Paul sets forth the beauty of Christian kindness.
2,New,7,Pauline Epistles,51,Col,The Epistle of Paul to the Colossians ,4,95,"St. Paul warns his disciples against errors, and exhorts to certain duties."
2,New,7,Pauline Epistles,52,1Th,The First Epistle of Paul to the Thessalonians ,5,89,St. Paul exhorts his disciples to continue in the faith and in holy conversation.
2,New,7,Pauline Epistles,53,2Th,The Second Epistle of Paul to the Thessalonians ,3,47,St. Paul corrects an error concerning the speedy coming of Christ the second time.
2,New,7,Pauline Epistles,54,1Ti,The First Epistle of Paul to Timothy ,6,113,"St. Paul instructs Timothy in the duty of a pastor, and encourages him in the work of the ministry."
2,New,7,Pauline Epistles,55,2Ti,The Second Epistle of Paul to Timothy ,4,83,"St. Paul instructs Timothy in the duty of a pastor, and encourages him in the work of the ministry."
2,New,7,Pauline Epistles,56,Tit,The Epistle of Paul to Titus ,3,46,Epistle to Titus. St. Paul encourages Titus in the performance of his ministerial duties.
2,New,7,Pauline Epistles,57,Phm,The Epistle of Paul to Philemon ,1,25,An appeal to a converted master to receive a converted escaped slave with kindness.
2,New,8,General Epistles,58,Heb,The Epistle to the Hebrews ,13,303,St. Paul maintains that Christ is the substance of the ceremonial law.
2,New,8,General Epistles,59,Jas,The General Epistle of James ,5,108,A treatise on the efficacy of faith united with good works.
2,New,8,General Epistles,60,1Pe,The First Epistle of Peter ,5,105,"Exhortations to a Christian life, with various warnings and predictions."
2,New,8,General Epistles,61,2Pe,The Second Epistle of Peter ,3,61,"Exhortations to a Christian life, with various warnings and predictions."
2,New,8,General Epistles,62,1Jo,The First Epistle of John ,5,105,"Respecting the person of our Lord, and an exhortation to Christian love and conduct."
2,New,8,General Epistles,63,2Jo,The Second Epistle of John ,1,13,St. John warns a converted lady against false teachers.
2,New,8,General Epistles,64,3Jo,The Third Epistle of John ,1,14,"A letter to Gaius, praising him for his hospitality."
2,New,8,General Epistles,65,Jde,The Epistle of Jude ,1,25,Warnings against deceivers.
2,New,9,Apocalyptic Epistle,66,Rev,The Book of Revelation (or The Apocalypse of John),22,404,The future of the Church foretold. 
